1	0.38 	0.13 	0.64 	0.48 	0.00 
2	0.23 	0.09 	0.76 	0.72 	0.01 
3	0.42 	0.10 	0.23 	0.31 	0.01 
4	0.44 	0.08 	0.39 	0.41 	0.01 
5	0.25 	0.09 	0.96 	0.83 	0.01 
6	0.67 	0.19 	0.35 	0.37 	0.01 
7	0.77 	0.13 	0.34 	0.23 	0.01 
8	0.04 	0.13 	0.92 	0.67 	0.00 
9	0.27 	0.04 	0.45 	0.15 	0.01 
10	0.00 	0.00 	0.45 	0.11 	0.05 
11	0.37 	0.15 	0.58 	0.31 	0.00 
12	0.30 	0.08 	0.46 	0.48 	0.00 
13	0.23 	0.18 	0.67 	0.48 	0.00 
14	0.01 	0.13 	0.72 	0.45 	0.00 
15	0.31 	0.15 	0.46 	0.40 	0.00 
16	0.32 	0.09 	0.67 	0.34 	0.01 
17	0.00 	0.00 	0.57 	0.04 	0.00 
18	0.24 	0.10 	0.82 	0.49 	0.00 
19	0.29 	0.23 	0.55 	0.12 	0.04 
20	0.26 	0.16 	0.49 	0.32 	0.01 
21	0.04 	0.01 	0.67 	0.07 	0.02 
22	0.13 	0.24 	0.82 	0.24 	0.00 
23	0.67 	0.11 	0.39 	0.23 	0.02 
24	0.04 	0.00 	0.45 	0.08 	0.02 
25	0.53 	0.15 	0.29 	0.20 	0.01 
26	0.23 	0.19 	0.82 	0.42 	0.00 
27	0.30 	0.15 	0.52 	0.41 	0.00 
28	0.03 	0.00 	0.52 	0.11 	0.01 
29	0.17 	0.07 	0.59 	0.19 	0.01 
30	0.32 	0.12 	0.65 	0.36 	0.00 
31	0.31 	0.09 	0.57 	0.05 	0.01 
32	0.52 	0.09 	0.68 	0.54 	0.00 
33	0.18 	0.11 	0.67 	0.86 	0.01 
34	0.32 	0.08 	0.48 	0.15 	0.02 
35	0.62 	0.08 	0.51 	0.37 	0.01 
36	0.30 	0.05 	0.41 	0.12 	0.01 
37	0.32 	0.18 	0.53 	0.23 	0.01 
38	0.33 	0.13 	0.57 	0.24 	0.01 
39	0.75 	0.19 	0.55 	0.34 	0.00 
40	0.20 	0.11 	0.75 	0.63 	0.01 
41	0.00 	0.00 	0.59 	0.02 	0.01 
42	0.27 	0.08 	0.52 	0.09 	0.00 
43	0.24 	0.05 	0.43 	0.10 	0.01 
44	0.63 	0.16 	0.47 	0.33 	0.01 
45	0.41 	0.18 	0.29 	0.12 	0.00 
46	0.60 	0.13 	0.34 	0.30 	0.01 
47	0.27 	0.16 	0.43 	0.18 	0.01 
48	0.24 	0.13 	0.68 	0.44 	0.03 
49	0.66 	0.14 	0.47 	0.46 	0.01 
50	0.60 	0.07 	0.52 	0.22 	0.00 
51	0.31 	0.17 	0.63 	0.39 	0.01 
52	0.05 	0.39 	0.77 	0.51 	0.00 
53	0.33 	0.03 	0.44 	0.23 	0.00 
54	0.16 	0.23 	0.83 	0.50 	0.01 
55	0.69 	0.24 	0.45 	0.36 	0.00 
56	0.16 	0.11 	0.81 	0.67 	0.03 
57	0.14 	0.10 	0.75 	0.75 	0.00 
58	0.35 	0.14 	0.76 	0.30 	0.00 
59	0.27 	0.04 	0.51 	0.22 	0.01 
60	0.73 	0.21 	0.32 	0.19 	0.00 
61	0.50 	0.08 	0.56 	0.48 	0.01 
62	0.16 	0.04 	0.61 	0.09 	0.00 
63	0.25 	0.12 	0.66 	0.52 	0.01 
64	0.23 	0.02 	0.43 	0.21 	0.01 
65	0.20 	0.04 	0.53 	0.16 	0.00 
66	0.05 	0.22 	0.38 	0.28 	0.00 
67	0.35 	0.08 	0.72 	0.27 	0.00 
68	0.17 	0.05 	0.38 	0.17 	0.01 
69	0.15 	0.06 	0.53 	0.16 	0.01 
70	0.71 	0.13 	0.38 	0.41 	0.00 
71	0.00 	0.00 	0.54 	0.10 	0.01 
72	0.14 	0.02 	0.39 	0.16 	0.00 
73	0.11 	0.00 	0.43 	0.10 	0.04 
74	0.08 	0.01 	0.60 	0.12 	0.04 
75	0.07 	0.21 	0.80 	0.63 	0.01 
76	0.17 	0.03 	0.56 	0.25 	0.00 
77	0.56 	0.13 	0.43 	0.30 	0.02 
78	0.41 	0.08 	0.40 	0.21 	0.02 
79	0.47 	0.15 	0.37 	0.28 	0.02 
80	0.41 	0.11 	0.53 	0.16 	0.00 
81	0.44 	0.21 	0.62 	0.29 	0.01 
82	0.09 	0.13 	0.68 	0.50 	0.01 
83	0.15 	1.00 	0.68 	1.00 	0.00 
84	0.06 	0.01 	0.34 	0.11 	0.00 
85	0.31 	0.07 	0.75 	0.52 	0.00 
86	0.20 	0.01 	0.37 	0.16 	0.01 
87	0.16 	0.09 	0.72 	0.47 	0.01 
88	0.01 	0.00 	0.51 	0.09 	0.00 
89	0.31 	0.09 	0.71 	0.77 	0.01 
90	0.18 	0.12 	0.72 	0.32 	0.01 
91	0.86 	0.06 	0.45 	0.17 	0.07 
92	0.29 	0.03 	0.36 	0.30 	0.01 
93	0.62 	0.10 	0.73 	0.24 	0.00 
94	1.01 	0.07 	0.40 	0.18 	0.00 
95	0.16 	0.07 	0.68 	0.71 	0.01 
96	0.13 	0.01 	0.41 	0.20 	0.01 
97	0.77 	0.16 	0.39 	0.14 	0.00 
98	0.29 	0.14 	0.63 	0.29 	0.01 
